970.9/236,984.9/236,998.9/236,1012.9/236,1026.9/236,1040.99/236,1055/236,1069/236,1083.03/236,1097/236,970.9/250,984.9/250,998.9/250,1012.9/250,1026.9/250,1055/250,1069/250,1083.03/250,1097/250,970.9/264,984.9/264,998.9/264,1012.9/264,1026.9/264,1040.99/264,1055/264,1069/264,1083.03/264,1097/264,970.9/278,984.9/278,998.9/278,1012.9/278,1026.9/278,1040.99/278,1055/278,1069/278,1083.03/278,1097/278,970.9/292,984.9/292,998.9/292,1012.9/292,1026.9/292,1040.99/292,1055/292,1069/292,1083.03/292,1097/292,970.9/306,984.9/306,998.9/306,1012.9/306,1026.9/306,1040.99/306,1055/306,1069/306,1083.03/306,1097/306,970.9/320,984.9/320,998.9/320,1012.9/320,1026.9/320,1040.99/320,1055/320,1069/320,1083.03/320,1097/320,Condition,Sample
18754,79713,12878,11305,607,241,41,44,191,77,35329,41840,167774,23768,18035,1118,55,257,52,632,71215,71108,274730,38928,37266,1146,1086,141,21,377,1283,25313,21634,86265,13781,11033,370,443,52,5813,7454,3213,37639,37000,169160,21391,17903,181,223,201,358,1192,702,2943,4218,15100,1342,1801,85,60,1551,422,1278,251,2589,1973,6074,1157,1149,T,20-T-J9
17641,173664,22528,39897,1330,2680,143,88,132,99,32919,41748,276665,42974,51769,2627,357,156,174,681,147096,114099,1062719,129336,231814,9285,5322,126,88,4459,8299,81107,65415,533507,86861,105790,3945,3040,52,10388,49776,39773,605205,480808,5097608,499915,722140,230,115,1476,712,13007,5329,114138,105057,682859,76907,88809,1844,90,16210,8848,35546,17226,280946,207929,1351123,128686,166857,NT,20-NT-J11
55630,314701,76240,85504,4526,281,91,178,110,87,99576,154655,898452,179224,187464,7928,774,312,309,704,281900,377902,2248346,428981,613120,34521,24072,195,285,17046,19227,164190,213715,1390014,276386,298720,18961,9365,181,5087,66851,41554,937386,1137982,7266546,1255653,1423557,209,74,491,1992,26721,19865,288471,364056,1825808,275447,306640,14397,557,26174,17043,55105,28308,466287,563740,2678486,418426,365182,T,20-T-J11
6723,94716,22391,55032,2897,100,91,272,93,77,5685,12530,85684,19917,38076,2056,381,96,71,361,32232,37852,423331,81786,201241,12150,10539,135,45,837,6885,13461,14540,151578,34663,65762,3938,4333,129,1357,12378,7695,96083,85616,1150790,202741,461678,164,39,320,304,1272,729,9261,8653,85069,14426,34047,739,300,3825,2181,3567,1479,24260,18320,179482,32496,64493,NT,21-NT-J1
11624,97139,41663,61820,4871,3079,120,43,151,115,11198,27846,182901,68947,65903,3503,213,192,174,453,31522,60074,477980,126347,224504,20324,13198,136,152,9465,9631,17497,32752,254695,93174,139068,13523,6494,154,1337,8320,10633,85080,143071,1311378,397523,608760,242,61,806,46,2480,1556,16354,33980,255958,71392,94811,3809,634,2547,2898,6165,2209,31269,51494,347865,88329,109013,T,21-T-J1
11257,77207,31185,48635,4619,300,91,294,60,50,10639,26902,163489,57842,64649,6099,283,348,26,477,34046,60446,434433,126480,218595,21840,15105,547,48,10137,16181,19153,26528,219908,83979,132820,10433,7727,52,5731,9306,10427,80314,121697,1028402,340141,488517,161,180,221,351,1607,2156,21281,30141,213748,64230,91452,6964,1354,3926,3068,5271,1625,31019,45317,310063,80616,102104,T,21-T-J9
3148,36517,10767,20708,565,102,151,130,89,103,673,4327,38270,8265,19683,1605,48,280,161,490,17499,18078,214034,44234,105249,4381,6968,165,22,411,3505,8031,7721,84586,18522,48477,1758,2535,156,1152,3570,5209,49146,48621,584969,114740,278613,68,187,148,284,1395,500,4192,6843,54605,10796,22751,752,63,2204,1281,2057,392,10004,10592,111157,20494,42538,NT,21-NT-J11
7420,53230,21279,35332,4716,1768,160,221,103,50,7446,17660,110229,34676,49889,2235,554,319,181,307,19039,39607,276397,87589,136889,13356,8211,34,99,10553,14399,13527,24457,168208,69985,94052,8413,5288,108,3621,3614,5564,54632,93896,797813,272026,418033,46,147,562,333,2742,1672,15358,21349,177347,57239,69151,5674,209,1227,51,3068,2228,22712,37711,245211,72267,83750,T,21-T-J11
47990,412550,67669,95306,4117,100,269,89,158,77,98024,119449,711648,106983,122882,3385,48,62,171,2551,321612,289925,2086975,255559,358964,19009,10516,457,143,8757,7522,135736,130757,883777,127801,134951,5972,3431,77,1844,63924,33984,959645,830667,6779198,603188,733636,7829,151,1404,281,16734,8253,168898,168529,877788,88731,98718,3752,1043,20598,11945,46298,23729,397082,274197,1571264,152138,160137,NT,22-NT-J1
60432,341367,81170,86959,2715,3475,135,91,104,99,97976,154308,784299,146901,118128,5103,154,217,197,237,206243,271709,1670206,290693,363465,18950,13085,199,21,7956,10228,105685,157821,826872,163692,174932,11220,5378,151,3835,36528,40483,577263,733270,4583607,777644,801275,249,75,717,190,18169,13473,191508,248435,1346231,203515,180848,5522,126,25038,14630,44355,23370,322301,431757,1914713,295681,237004,T,22-T-J1
